,videoId,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,scanTimeStamp,Epoch
0,bfmUsDJjBkU,2023-12-17T02:02:00-08:00,5.79M subscribers,0,4585,Now,Comedy,FR,"2,529,987 views",184K,3.2K,True,"['Mastu', 'Mastus', 'Humour', 'Matsu', 'loat', 'mastu enfer', 'mastu michou', 'michou', 'mastu zafeel', 'zafeel', 'hctuan', 'mchou enfer']",1702959476.2623816,4
1,9gAADPMt1FU,2023-12-17T10:28:05-08:00,724K subscribers,1,1056,Now,Comedy,FR,"340,995 views",58K,1.3K,True,,1702959476.2623816,4
2,LnW-DwBrWLk,2023-12-17T07:59:59-08:00,4M subscribers,0,827,Now,Comedy,FR,"501,223 views",40K,565,True,,1702959476.2623816,4
3,K4GQRiuNpP0,2023-12-17T08:00:33-08:00,1.99M subscribers,1,2773,Now,Howto & Style,FR,"308,693 views",13K,441,False,,1702959476.2623816,4
4,9RhWXPcKBI8,2023-12-16T09:00:01-08:00,219M subscribers,2,1627,Now,Entertainment,FR,"64,085,198 views",3M,50K,True,,1702959476.2623816,4
5,aZOiDNzoeWQ,2023-12-17T02:17:24-08:00,9.19M subscribers,3,1679,Now,Entertainment,FR,"988,838 views",64K,1.7K,True,"['michou', 'roue', 'tournes', 'souffres', 'vidéo', 'Tu']",1702959476.2623816,4
6,M9p7xS8nKFg,2023-12-17T14:05:56-08:00,985K subscribers,4,11341,Now,Sports,FR,"229,770 views",11K,166,True,"['foot', 'football', 'streaming', 'direct', 'match', 'sowdred', 'ligue 1', 'paris saint germain', 'paris sg', 'paris', 'psg', 'lille osc', 'lille', 'losc', 'psg lille', 'psg vs lille', 'lille psg', 'lille vs psg', 'lille paris', 'lille vs paris', 'lille paris sg', 'lille vs paris sg', 'losc psg', 'losc vs psg', 'losc paris', 'losc vs paris', 'match en direct', 'matche en direct', 'match en direct aujourd-hui', 'lille psg live', 'losc psg live', 'lille paris live', 'psg lille live', 'psg live', 'messi', 'amazon prime live', 'amazon prime', 'psg match', 'leo']",1702959476.2623816,4
7,FuNLTys8xtQ,2023-12-17T07:41:08-08:00,2.51M subscribers,5,390,Now,Comedy,FR,"309,065 views",39K,621,True,"['kevin tran', 'kevin tran 陈科伟', 'rire jaune', 'le rire jaune', 'show jaune', 'le show jaune', 'kevin tran empereur', 'henry tran', 'cuisine', 'après mes toilettes', 'après mes toilettes ma cuisine', 'kevin tran cuisine', 'présentation de ma cuisine', 'cuisine tour', 'kitchen tour']",1702959476.2623816,4
8,4R7vRFGJr3k,2023-12-17T06:59:58-08:00,28.4M subscribers,6,191,Now,Music,FR,"4,254,752 views",464K,45K,True,"['JYP Entertainment', 'JYP', 'ITZY', '있지', 'イッチ', '예지', '리아', '류진', '채령', '유나', 'YEJI', 'LIA', 'RYUJIN', 'CHAERYEONG', 'YUNA', 'イェジ', 'リア', 'リュジン', 'チェリョン', 'ユナ', 'อิทจี', 'เยจี', 'ลีอา', 'รยูจิน', 'แชรยอง', 'ยูนา', 'ITZY VIDEOS', 'ITZY BEHIND', 'MV', 'ITZY MV', 'ITZY MUSIC VIDEOS', 'Teaser', 'ITZY Teaser', 'ITZY VLOG', 'VLOG', ""IT'z Different"", ""IT'z ICY"", ""IT'z ME"", 'Not Shy', 'GUESS WHO', 'CRAZY IN LOVE', 'DALLA DALLA', 'ICY', 'WANNABE', '마.피.아.IN THE MORNING', 'LOCO', 'ITZY?ITZY!', 'ITZY CHECKMATE', 'CHECKMATE', 'ITZY COMEBACK', 'SNEAKERS', 'Boys Like You', 'CHESHIRE', 'KILL MY DOUBT', 'CAKE', 'BORN TO BE']",1702959476.2623816,4
9,vvnlLGFv2mI,2023-12-17T03:00:45-08:00,1.54M subscribers,7,2208,Now,Autos & Vehicles,FR,"598,526 views",43K,1.2K,True,,1702959476.2623816,4
10,Ap7qPHeZcgM,2023-12-16T23:18:06-08:00,1.38M subscribers,8,481,Now,Entertainment,FR,"328,706 views",5K,355,False,"['colby covington', 'donald trump', 'droitufc', 'leon edwards', 'mma', 'sports de combat', 'ufc']",1702959476.2623816,4
11,6f1Bg-fqBRg,2023-12-17T02:00:12-08:00,367K subscribers,9,2566,Now,Entertainment,FR,"128,274 views",11K,438,True,"['one piece', 'one piece théorie', 'one piece theory', 'one', 'piece', 'theorie', 'one piece 1088', 'one piece chapitre', 'one piece spoil', 'Luffy', 'Nika', 'Gomu gomu no mi', 'hito hito no mi model nika', 'Joyboy', 'Haki', 'devil fruit', ""L'HISTOIRE DE LUFFY ET LA FIN DE ONE PIECE EXPLIQUÉE !"", 'Barbe Noire', 'Marshall D. teach', 'Teach vs Luffy', 'la disparition du gomu gomu no mi', 'Haki des rois', 'Luffy éveil', 'One Piece 1102', 'one piece review', 'Goji', 'anime', 'manga', 'Oda', 'iceberg one piece']",1702959476.2623816,4
12,pIqARNahjJw,2023-12-17T10:00:30-08:00,564K subscribers,10,545,Now,Science & Technology,FR,"130,538 views",15K,496,True,"['iphone', 'apple', 'imessage', 'rcs', 'bulle bleue', 'bulle verte', 'léo duff', 'beeper', 'android', 'ios']",1702959476.2623816,4
13,tfht2Piljo8,2023-12-17T04:07:22-08:00,492K subscribers,11,334,Now,Entertainment,FR,"377,758 views",2.9K,1.5K,True,,1702959476.2623816,4
14,n4hyVsz7FMA,2023-12-17T01:00:27-08:00,2.43M subscribers,12,2988,Now,Entertainment,FR,"114,463 views",10K,328,True,"['horia', 'youtubeuse', 'true crime', 'thread horreur', 'Horia horreur', 'horroria', 'histoire horreur', 'la sombre histoire de', 'sombre histoire Horia', 'Lady Diana', 'la sombre histoire de lady diana', 'sombre histoire lady diana', 'lady diana reportage', 'lady diana documentaire', 'famille royale', 'prince charles', 'reine elisabeth', 'aromazone', 'skincare', 'mystère', 'étrange', 'lady diana mystère', 'histoire de lady diana', 'lady di', 'princesse diana', 'théories', 'lady diana théories', 'affaire', 'histoire lady di']",1702959476.2623816,4
15,usTqmg0xNZY,2023-12-15T08:22:26-08:00,7.24M subscribers,13,2246,Now,Entertainment,FR,"1,860,816 views",170K,4.6K,True,"['mcfly', 'carlito', 'golden moustache', 'fatshow', 'badass', 'dab', ""j'effectue"", 'le', 'et', 'on', 'appelle', 'des', 'gens', 'au', 'hasard']",1702959476.2623816,4
16,SwlRSu0jjyU,2023-12-17T08:25:00-08:00,8.33M subscribers,14,985,Now,Comedy,FR,"1,621,541 views",120K,1.2K,True,"['amixem', 'humour', 'delire']",1702959476.2623816,4
17,FrTfxDY2eyI,2023-12-17T08:23:46-08:00,315K subscribers,15,621,Now,Comedy,FR,"95,417 views",13K,365,True,,1702959476.2623816,4
18,NGfpot1_2Is,2023-12-17T03:00:12-08:00,548K subscribers,16,2023,Now,Howto & Style,FR,"100,015 views",9.1K,381,True,"['honeyshay', 'honey shay', 'Chaiyna', 'comores', 'lifestyle', 'beauté', 'vlog', 'famille', 'family game', 'habitue toi', 'Family', 'Family Games', 'Océane', 'Yoan', 'Yo4real']",1702959476.2623816,4
19,W_l0npDNILY,2023-12-17T05:00:31-08:00,2.56M subscribers,17,966,Now,Gaming,FR,"554,762 views",42K,391,True,"['terracid', 'laink', 'wankil', 'lego', 'fortnite', 'minecraft', 'build', 'construction']",1702959476.2623816,4
20,ziq9BzdRvwY,2023-12-17T10:00:28-08:00,146K subscribers,18,3163,Now,Entertainment,FR,"141,003 views",6.9K,172,True,,1702959476.2623816,4
21,TOIAdoDwYYs,2023-12-17T01:30:05-08:00,230K subscribers,19,1207,Now,Gaming,FR,"94,847 views",8.4K,246,True,"['pokemon random', 'choisi ton starter', 'choisi ton pokemon', 'challenge pokemon', 'randomizer pokemon violet', 'randomizer pokemon ecarlate']",1702959476.2623816,4
22,uKpgHMkjF_8,2023-12-17T08:30:12-08:00,92.1K subscribers,20,1445,Now,Film & Animation,FR,"55,647 views",5.4K,337,False,"['film', 'films', 'chronique', 'cinema', 'saga', 'humour', 'analyse', 'box office', 'critique', 'resume', 'la suite de trop', 'video', 'youtube', 'critique cinema', 'critique de film', 'Cinéphile', 'Noel', 'Christmas', 'Aladdin', 'Le Roi Lion', 'La Belle et le Bete', 'Pocahontas', 'Disney', 'Le Retour de Jafar', 'Karime Debbache', 'Crossed', 'Chroma', 'Guillaume Cassar', 'Notserious', 'la petite sirene', 'mickey', 'La petite sirene 2', 'La Belle et le Clochard', 'La Belle et le Clochard 2', 'Le Bossu de Notre Dame', 'Cendrillon', 'PeterPan', 'Les 101 Dalmatiens', 'Cruella', 'Tarzan']",1702959476.2623816,4
23,LY0Ll7LRYDI,2023-12-17T09:09:58-08:00,5.43M subscribers,21,953,Now,Entertainment,FR,"774,747 views",64K,4.2K,True,"['seb la frite', 'seb', 'ce mec', 'seblafrite', 'sebastien frit', 'histoire', 'incroyable', 'mystère', 'musique', 'documentaire', 'Tecktonik', 'danse electro', 'metropolis', 'rungis', 'teck tonik', 'story', 'France']",1702959476.2623816,4
24,lTmJJ3AGizk,2023-12-17T04:00:30-08:00,106K subscribers,22,1456,Now,Gaming,FR,"97,082 views",4.5K,267,False,"['jeux vidéo', 'gaming', 'clip', 'twitch', 'twitchfr', 'montage', 'best of', 'shorts', 'tiktok', 'humour', 'drole', 'wii sports', 'wii sports resort', 'matt', 'wii']",1702959476.2623816,4
25,SG065LnQ08Q,2023-12-16T10:02:38-08:00,688K subscribers,23,1941,Now,Entertainment,FR,"195,478 views",14K,201,True,"['billy', 'rebeudeter', 'jeu', 'jeux', 'horreur', 'fears', 'to', 'fantom', 'fathom', 'live', 'twitch', 'rediff', 'rediffusion', 'react']",1702959476.2623816,4
26,WG4FIkH6HU8,2023-12-17T09:00:10-08:00,412K subscribers,24,690,Now,Entertainment,FR,"69,866 views",4.3K,99,True,"['Ski', 'Freeride', 'extreme', 'Bimboes', 'Mickael', 'mickael bimboes', 'Freeride world tour', 'winteractivity', 'winter activity', 'winter', 'brutisode', 'snowboard', 'vtt', 'parapente', 'montagne', 'prank', 'scandale', 'backflip', 'freestyle', 'équipe', 'skiing', 'neige', 'film', 'avalanche', 'vlog', 'antagonist', 'gopro', 'dji', 'world', 'mtb', 'downhill', 'tricks', 'trick', 'fail', 'fails', 'best', 'chamonix', 'audi', 'yeah']",1702959476.2623816,4
27,DmdcktG7vXM,2023-12-17T10:49:02-08:00,58.5K subscribers,25,167,Now,Music,FR,"31,273 views",4.6K,3.2K,False,,1702959476.2623816,4
28,6X1Ko_TExuM,2023-12-16T03:45:00-08:00,34.8K subscribers,26,810,Now,Entertainment,FR,"301,025 views",5.7K,272,False,,1702959476.2623816,4
29,gRb87CBRZ2o,2023-12-17T03:00:27-08:00,319K subscribers,27,1592,Now,Film & Animation,FR,"57,808 views",4.5K,353,True,"['Cinéma', 'Durendal', 'Film', 'Vlog', 'Critique', 'Super Mario Bros', 'The Movie', 'Le Film', 'Aaron Horvath', 'Michael Jelenic', 'Chris Pratt', 'Anya Taylor-Joy', 'Jack Black', 'Seth Rogen', 'Jeu Vidéo', 'Aventure', 'Action']",1702959476.2623816,4
30,P0rMYaKFO7k,2023-12-17T08:00:01-08:00,253K subscribers,28,659,Now,Film & Animation,FR,"57,721 views",8.3K,536,True,"['Neuxs 6', 'Neuxs VI', 'Nexus 6', 'Science-Fiction', 'France', 'Metz', 'Blida', 'Fensch Toast', 'Science Fiction', 'Arnold Schwarzenegger', 'Linda Hamilton', 'Kyle Reese', 'T1000']",1702959476.2623816,4
31,igsQae0v0HQ,2023-12-17T09:00:27-08:00,618K subscribers,29,1342,Now,Howto & Style,FR,"179,104 views",12K,104,True,['mayadorable'],1702959476.2623816,4
32,6oLB9vDNvI0,2023-12-15T09:47:00-08:00,2.1M subscribers,30,394,Now,Entertainment,FR,"702,470 views",17K,616,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",1702959476.2623816,4
33,spmAWUn0k40,2023-12-17T09:52:44-08:00,707K subscribers,31,859,Now,Sports,FR,"86,068 views",1.5K,76,True,"['champions cup', 'harlequins', 'rugby', 'sport', 'stade toulousain']",1702959476.2623816,4
34,jply2m0IoYs,2023-12-17T01:26:50-08:00,235K subscribers,32,104,Now,News & Politics,FR,"130,741 views",261,596,True,"['TF1', 'beauté', 'concours', 'feminism washing', 'france', 'féminisme', 'justice', 'miss', 'miss nord-pas-de-calais', 'média', 'police', 'sexisme', 'télévision', 'Ève Gilles']",1702959476.2623816,4
35,icGwtYWesWw,2023-12-17T14:19:35-08:00,2.04M subscribers,33,596,Now,Sports,FR,"400,141 views",8.2K,309,True,"['résumé', 'highlights', 'real', 'de', 'madrid', 'villarreal', 'jude', 'bellingham', 'brahim', 'diaz', 'rodrygo', 'vini', 'vinicius', 'junior', 'jr', 'endrick', 'luka', 'modric', 'la', 'liga', 'foot', 'football', 'club', 'fc']",1702959476.2623816,4
36,k51hM1cEgcs,2023-12-17T10:00:21-08:00,1.03M subscribers,34,764,Now,Science & Technology,FR,"74,550 views",3.1K,123,True,,1702959476.2623816,4
37,-3Xvyo_-Pyg,2023-12-17T03:26:56-08:00,605K subscribers,35,1494,Now,Entertainment,FR,"39,646 views",3.2K,86,False,,1702959476.2623816,4
38,JGP98IDCrTc,2023-12-17T08:14:52-08:00,312K subscribers,36,784,Now,Science & Technology,FR,"58,318 views",6.4K,292,True,"['pixmob', 'coldplay', 'the weeknd', 'taylor swift', 'imagine dragons', 'lady gaga', 'bad bunny', 'elton john', 'wristband', 'infrarouge', 'menu', 'ecologique', 'concert', 'spectacle']",1702959476.2623816,4
39,bOppj5rT2xA,2023-12-17T08:30:06-08:00,436K subscribers,37,673,Now,Entertainment,FR,"39,423 views",3.4K,44,True,"['FR', 'AlphaCast', 'Gameplay', 'Alfacast', 'France', 'Lynkus', 'Live', 'Twitch', 'Meilleurs moments', 'Best of', '35', 'Tablequest', 'Jeu vidéo', 'gameplay', 'drôle', 'blagues', 'rire', 'clips', 'Stream', 'Streaming', 'Alpha', 'Alfa', 'M4F', 'Ted', 'Eventis', 'Troma', 'Ted Etienne', 'AVAMIND', 'AVA', 'Gom4rt', 'Antoine Daniel', 'JDG', 'Mynthos', 'Joueur du Grenier', 'Dead Space', 'Grounded', 'Warhammer']",1702959476.2623816,4
40,Mz-J5JPxxBI,2023-12-17T02:59:33-08:00,136K subscribers,38,888,Now,Music,FR,"63,793 views",4.8K,202,True,"['Beendo z', 'Retour à l’école', 'École', 'Élèves', 'Rap', 'Raplume', 'Interview', 'Interview Beendo Z', 'Au tableau']",1702959476.2623816,4
41,RrasC4E_1R8,2023-12-17T03:00:31-08:00,1.13M subscribers,39,1048,Now,Entertainment,FR,"105,686 views",4.7K,259,True,,1702959476.2623816,4
42,OBgUnwkPivg,2023-12-15T09:22:32-08:00,1.95M subscribers,40,509,Now,People & Blogs,FR,"864,557 views",5.8K,658,False,"['guy marchand', 'hommage', 'patrick sébastien']",1702959476.2623816,4
43,mWacdcatC9o,2023-12-16T22:35:44-08:00,1.4M subscribers,41,52,Now,Film & Animation,FR,"2,912,720 views",212K,10K,False,,1702959476.2623816,4
44,BYKz4ksSFFc,2023-12-17T03:00:12-08:00,116K subscribers,42,157,Now,Music,FR,"54,512 views",3.5K,131,False,"['rsko chanel bag parole', 'rsko chanel bag']",1702959476.2623816,4
45,BOQ1FdoBBmI,2023-12-16T00:59:24-08:00,850K subscribers,43,719,Now,Film & Animation,FR,"250,543 views",30K,1.1K,True,"['théorie', 'Chronik Fiction', 'Fabio Soares', 'Mike Zonnenberg', 'cinéma', 'web-série', 'série digitale', 'analyse', 'critique', 'film', 'chronique', 'berlin', 'lacasadepapel', 'netflix', 'berlin trailer', 'berlin bande annonce vf', 'berlin bande annonce fr']",1702959476.2623816,4
46,HCJ2WHNpQqc,2023-12-15T03:00:17-08:00,1.2M subscribers,44,171,Now,Music,FR,"511,491 views",33K,935,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",1702959476.2623816,4
47,sRtFQf5wQ-U,2023-12-17T15:21:13-08:00,395K subscribers,45,283,Now,People & Blogs,FR,"149,443 views",2.3K,297,True,"['2023/24', 'football', 'futebol', 'goals', 'golos', 'highlights', 'liga portugal', 'liga portugal betclic', 'liga portuguesa', 'portugal', 'portuguese league', 'primeira liga', 'resumo', 'season 23/24', 'soccer', 'sp:dt=2023-12-17T20:30:00Z', 'sp:li=port', 'sp:st=soccer', 'sp:ti:away=SLB', 'sp:ti:home=SCB', 'sp:ty=high']",1702959476.2623816,4
48,5VojZY6p798,2023-12-17T06:49:09-08:00,916K subscribers,46,546,Now,Science & Technology,FR,"62,940 views",5K,344,True,"['TheiCollection', 'Studio TheiCollection', 'Setup TheiCollection', 'Apple', 'Tech', 'Roche Bobois', 'Polygonia Roche Bobois', 'Furtif Roche Bobois', 'Bureau Roche Bobois', 'Setup highTech', 'HighTech', 'Technologie', 'JB', 'Jojol', 'Gentil', 'Garçon', 'Astuces tournage', 'astuces', 'setup astuce', 'setup caméra', 'setup tech', 'studio tech', 'The Frame', 'Philips hue', 'Astuces Philips Hue']",1702959476.2623816,4
49,qj9REJK5K3w,2023-12-17T11:53:37-08:00,2.04M subscribers,47,835,Now,Sports,FR,"200,896 views",3K,229,True,"['coupe', 'du', 'monde', 'championnat', 'championnats', 'mondial', 'hand', 'handball', 'equipe', 'de', 'france', 'bleu', 'bleus', 'bleue', 'bleues', 'norvege', 'norway']",1702959476.2623816,4
50,5jrMwhmYW1A,2023-12-14T07:56:41-08:00,158K subscribers,0,151,Recently Trending,Comedy,FR,"931,775 views",43K,2K,False,"['malik bentalha', 'encore', 'titanic', 'jamel comedy club', 'marrakech du rire', 'rendez-vous en terre inconnue', 'sketch', 'nouveau', 'spectacle', 'stand-up', 'entier', 'colors', 'jul', 'becan', 'show', 'sch', 'freeze corleone', 'haaarp', 'francais', 'fr', 'niska', 'tv', 'angele', 'kalash', 'chalgoumi', 'praud', 'cnews', ""l'heure de trop"", 'nouveau monde', 'pascal praud', ""l'heure des pros"", 'debat', 'islam', 'parodie', 'israel', 'palestine', 'djellaba', 'islamique', 'vetement', 'lastella', 'zemmour', 'comedy', 'comedie', 'humour', 'rap', 'freestyle', 'booska p', 'interview', 'fougasse', 'streaming', 'react', 'reaction', 'avis']",1702959476.2623816,4
51,QdBZY2fkU-0,2023-12-04T15:07:10-08:00,10.3M subscribers,1,90,Recently Trending,Gaming,FR,"153,212,070 views",10M,832K,True,"['Rockstar Games', 'Grand Theft Auto VI', 'GTAVI', 'GTA 6', 'GTA Six', 'Grand Theft Auto', 'GTA', 'Vice City', 'Leonida']",1702959476.2623816,4
52,LnW-DwBrWLk,2023-12-17T07:59:59-08:00,4M subscribers,2,827,Recently Trending,Comedy,FR,"501,330 views",40K,565,True,,1702959476.2623816,4
53,9gAADPMt1FU,2023-12-17T10:28:05-08:00,724K subscribers,3,1056,Recently Trending,Comedy,FR,"340,995 views",58K,1.3K,True,,1702959476.2623816,4
54,K4GQRiuNpP0,2023-12-17T08:00:33-08:00,1.99M subscribers,4,2773,Recently Trending,Howto & Style,FR,"308,760 views",13K,441,False,,1702959476.2623816,4
55,6oLB9vDNvI0,2023-12-15T09:47:00-08:00,2.1M subscribers,5,394,Recently Trending,Entertainment,FR,"702,470 views",17K,616,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",1702959476.2623816,4
56,HCJ2WHNpQqc,2023-12-15T03:00:17-08:00,1.2M subscribers,6,171,Recently Trending,Music,FR,"511,491 views",33K,935,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",1702959476.2623816,4
57,pFpjyAp8aJ0,2023-12-13T03:00:46-08:00,706K subscribers,7,7828,Recently Trending,Entertainment,FR,"530,992 views",19K,374,True,['Zack Nani'],1702959476.2623816,4
58,zePFAZMUnbU,2023-12-08T09:18:08-08:00,4.91M subscribers,8,2314,Recently Trending,Howto & Style,FR,"2,231,164 views",76K,819,True,"['Fastgoodcuisine', 'Fastgood', 'Fastfood', 'Qui est', 'Qui est l’imposteur', 'l’imposteur', 'Plat piégé', 'Piégé', 'Qui est le menteur', 'Le menteur', ""qui est l'imposteur"", 'Qui Aura Le Plat Piégé ?', ""qui aura l'objet piégé"", 'challenge', 'Qui est l’imposteur ?', 'inox', 'inoxtag', 'inoxtag imposteur', 'inoxtag fastgoodcuisine', 'fastgoodcuisine inoxtag', 'fastgoodcuisine inox', 'gurky', 'gurky fast food', 'gurky fastgoodcuisine', 'tacos piégé', 'fastfood piégé', 'gurky le murky']",1702959476.2623816,4
59,dh8XxY717Gw,2023-12-07T09:15:03-08:00,2.5M subscribers,9,1740,Recently Trending,Autos & Vehicles,FR,"3,198,726 views",324K,32K,True,"['vilebrequin', 'voiture', 'automobile', 'essai', 'test', 'vultech', 'vilbrequin', 'multipla', 'xantia', 'mécanique', ""dos d'âne"", 'dodane', 'dodane 130', 'dos dane 130', ""vilebrequin dos d'ane"", ""vilebrequin dos d'âne"", ""dos d'ane 170"", 'vilebrequin bus', 'drift', 'drole', 'fun', 'squeezie', 'amixem', 'joyca', '1000tipla', 'vilebrequin bourré', ""dos d'âne 170"", '1ÈRE 130', 'top gear', 'crash', 'accident', 'jump', 'drift bus', 'dodane 170', 'mcfly', 'fin vilebrequin', 'vilebrequin fini', 'arret vilebrequin', 'vilebrequin drama', 'vilebrequin fin', 'dernière video']",1702959476.2623816,4
60,OBgUnwkPivg,2023-12-15T09:22:32-08:00,1.95M subscribers,10,509,Recently Trending,People & Blogs,FR,"864,617 views",5.8K,658,False,"['guy marchand', 'hommage', 'patrick sébastien']",1702959476.2623816,4
61,WB9wpwPVzyY,2023-12-08T09:00:37-08:00,6.84M subscribers,11,229,Recently Trending,Music,FR,"7,513,285 views",138K,1.1K,True,"['JuL', 'Alonzo', 'La fusion', 'Clip Officiel', 'La Route Est Longue', 'LREL']",1702959476.2623816,4
62,aZOiDNzoeWQ,2023-12-17T02:17:24-08:00,9.19M subscribers,12,1679,Recently Trending,Entertainment,FR,"988,948 views",64K,1.7K,True,"['michou', 'roue', 'tournes', 'souffres', 'vidéo', 'Tu']",1702959476.2623816,4
63,oByOOqDerrM,2023-12-15T10:00:06-08:00,1.15M subscribers,13,1800,Recently Trending,Entertainment,FR,"395,074 views",25K,327,False,,1702959476.2623816,4
