,videoId,scanTimestamp,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,Epoch
0,usTqmg0xNZY,1702825586.4943883,2023-12-15T08:22:26-08:00,7.23M subscribers,0,2246,Now,Entertainment,FR,"1,434,780 views",142K,4.1K,True,"['mcfly', 'carlito', 'golden moustache', 'fatshow', 'badass', 'dab', ""j'effectue"", 'le', 'et', 'on', 'appelle', 'des', 'gens', 'au', 'hasard']",1
1,9RhWXPcKBI8,1702825586.4943883,2023-12-16T09:00:01-08:00,219M subscribers,1,1627,Now,Entertainment,FR,"43,200,400 views",2.4M,45K,True,,1
2,6oLB9vDNvI0,1702825586.4943883,2023-12-15T09:47:00-08:00,2.1M subscribers,0,394,Now,Entertainment,FR,"514,035 views",14K,514,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",1
3,OBgUnwkPivg,1702825586.4943883,2023-12-15T09:22:32-08:00,1.95M subscribers,1,509,Now,People & Blogs,FR,"683,078 views",5.4K,606,False,"['guy marchand', 'hommage', 'patrick sébastien']",1
4,BOQ1FdoBBmI,1702825586.4943883,2023-12-16T00:59:24-08:00,849K subscribers,2,719,Now,Film & Animation,FR,"196,926 views",25K,1K,True,"['théorie', 'Chronik Fiction', 'Fabio Soares', 'Mike Zonnenberg', 'cinéma', 'web-série', 'série digitale', 'analyse', 'critique', 'film', 'chronique', 'berlin', 'lacasadepapel', 'netflix', 'berlin trailer', 'berlin bande annonce vf', 'berlin bande annonce fr']",1
5,HCJ2WHNpQqc,1702825586.4943883,2023-12-15T03:00:17-08:00,1.2M subscribers,3,171,Now,Music,FR,"395,732 views",30K,874,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",1
6,Yr4wNWfEVBM,1702825586.4943883,2023-12-16T00:00:16-08:00,199K subscribers,4,1481,Now,People & Blogs,FR,"123,481 views",12K,343,True,,1
7,5jrMwhmYW1A,1702825586.4943883,2023-12-14T07:56:41-08:00,154K subscribers,5,151,Now,Comedy,FR,"732,060 views",38K,1.8K,False,"['malik bentalha', 'encore', 'titanic', 'jamel comedy club', 'marrakech du rire', 'rendez-vous en terre inconnue', 'sketch', 'nouveau', 'spectacle', 'stand-up', 'entier', 'colors', 'jul', 'becan', 'show', 'sch', 'freeze corleone', 'haaarp', 'francais', 'fr', 'niska', 'tv', 'angele', 'kalash', 'chalgoumi', 'praud', 'cnews', ""l'heure de trop"", 'nouveau monde', 'pascal praud', ""l'heure des pros"", 'debat', 'islam', 'parodie', 'israel', 'palestine', 'djellaba', 'islamique', 'vetement', 'lastella', 'zemmour', 'comedy', 'comedie', 'humour', 'rap', 'freestyle', 'booska p', 'interview', 'fougasse', 'streaming', 'react', 'reaction', 'avis']",1
8,TAu19lI1LMg,1702825586.4943883,2023-12-16T01:00:31-08:00,859K subscribers,6,974,Now,Entertainment,FR,"133,006 views",6.7K,184,True,"['motocross', 'électrique', 'stark', 'varg', 'unboxing', 'présentation', 'cross', 'supermoto', 'supermot', 'crossbitume', 'bitume', 'wheeling', 'stunt', 'stoppie', 'electric', 'essai', 'test', 'bikelife']",1
9,sQfMhglH4_g,1702825586.4943883,2023-12-16T01:00:29-08:00,431K subscribers,7,1145,Now,People & Blogs,FR,"70,553 views",6.8K,103,True,"['Stervio', 'fr', 'agriculture', 'nouvelle voiture', 'kangoo', 'nettoyage', 'ferme', 'rabaud', 'balayeuse', 'mecanique']",1
10,oByOOqDerrM,1702825586.4943883,2023-12-15T10:00:06-08:00,1.14M subscribers,8,1800,Now,Entertainment,FR,"293,867 views",21K,310,False,,1
11,EUtsTZK0YuY,1702825586.4943883,2023-12-15T08:00:14-08:00,624K subscribers,9,1106,Now,Entertainment,FR,"665,652 views",18K,1.1K,True,"['jai construit une piece secrete', 'jai construit une piece secrete dans ma maison de noel', 'jai construit une piece secrete maison', 'piece secrete maison', 'piece secrete maison de noel', 'piece secrete']",1
12,jclw_cAtcIg,1702825586.4943883,2023-12-15T09:00:09-08:00,225K subscribers,10,171,Now,Music,FR,"228,689 views",20K,826,False,,1
13,TAKjuokhpyg,1702825586.4943883,2023-12-15T09:00:02-08:00,4.39M subscribers,11,214,Now,Music,FR,"216,722 views",13K,624,False,"['lacrim', 'fugazi', 'en attendant corleone', 'plk', 'plk periph', 'kaaris', 'ninho', 'kerchak ziak', 'kerchak', 'lacrim rap', 'rap francais', 'lacrim baby gang', 'lacrim album', 'rap fr', 'rap', 'tendance rap', 'jul', 'jul alonzo', 'gazo', 'tiakola', 'gazo tiakola', 'zola koba la d', 'zola', 'koba la d', 'jul sdm', 'sdm', 'timal zed', 'mayo ninho', 'pnl']",1
14,CsypIF2PxhU,1702825586.4943883,2023-12-15T09:00:04-08:00,1.5M subscribers,12,1860,Now,Entertainment,FR,"169,062 views",21K,875,True,"['Henry', 'Le Rire jaune', 'Kevin Tran', 'Henry Tran', 'Cyprien', 'Locklear', 'Squeezie', 'Gotaga', 'Doigby', 'Mastu', 'Amixem', 'LOAT', 'Joyca', 'Théodore', 'Amine', ""Amine m'a tué"", 'Francis Ngannou', 'SEB', 'A CONTRE COURANT', 'MMA', 'UFC', 'Jon Jones', 'La sueur', 'RMC SPORT', 'PFL', 'Tyson Fury', 'Boxing', 'Cameroune', 'Documentaire', 'Afrique', 'Seb la frite', 'Léna situation', 'Histoire', 'Mike Tyson', 'Mohammed Ali', 'Boxe anglaise', 'Ciryl Gane', 'Cedric Doumbe', 'Le Flash Back', 'Boxing Academy France']",1
15,iKvxt5kpqK4,1702825586.4943883,2023-12-16T01:14:07-08:00,403K subscribers,13,934,Now,Gaming,FR,"89,028 views",2.6K,79,True,"['minecraft', 'awariz', 'awariz minecraft', 'awaris', 'awa', 'awari', 'awarie', 'awarise', 'awarize', 'avari', 'avarie', 'avarise', 'avariz', 'avarize', 'avaris', 'je rencontre', 'rencontre', 'recontre sur minecraft', 'soeur', 'soeur de talcado', 'talcado', 'talcado soeur', 'talcado awariz', 'talcado sur minecraft', 'awariz et talcado minecraft']",1
16,n_Dd7h_7cOM,1702825586.4943883,2023-12-15T09:00:47-08:00,987K subscribers,14,181,Now,Music,FR,"212,724 views",7.3K,189,False,"['filtré', 'timal filtré', 'timal gazo', 'gazo filtré', 'timal', 'timal caméléon', 'booba caméléon', 'timal booba', 'timal gazo filtré', 'timal booba caméléon', 'timal vatos', 'timal chien', 'sdm bolide allemand', 'timal la 15', 'timal la 16', 'timal la 14', 'Timal zed', 'zed timal', 'timal feat zed', 'zed feat timal', 'timal sur écoute', 'sur écoute timal', 'zed sur écoute', 'sur écoute zed', 'timal zed écoute', 'écoute zed timal', 'clip timal zed', 'timal zed clip', 'clip zed timal', 'zed timal clip', 'gazo timal', 'booba timal']",1
