,Unnamed: 0,videoId,scanTimestamp,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,Epoch
0,0,bfmUsDJjBkU,1702947835.763489,2023-12-17T02:02:00-08:00,5.79M subscribers,0,4585,Now,Comedy,FR,"2,489,981 views",183K,3.1K,True,"['Mastu', 'Mastus', 'Humour', 'Matsu', 'loat', 'mastu enfer', 'mastu michou', 'michou', 'mastu zafeel', 'zafeel', 'hctuan', 'mchou enfer']",1
1,1,9gAADPMt1FU,1702947835.763489,2023-12-17T10:28:05-08:00,724K subscribers,1,1056,Now,Comedy,FR,"325,905 views",57K,1.2K,True,,1
2,2,LnW-DwBrWLk,1702947835.763489,2023-12-17T07:59:59-08:00,4M subscribers,0,827,Now,Comedy,FR,"492,696 views",39K,563,True,,1
3,3,K4GQRiuNpP0,1702947835.763489,2023-12-17T08:00:33-08:00,1.99M subscribers,1,2773,Now,Howto & Style,FR,"301,552 views",12K,438,False,,1
4,4,aZOiDNzoeWQ,1702947835.763489,2023-12-17T02:17:24-08:00,9.19M subscribers,2,1679,Now,Entertainment,FR,"979,201 views",63K,1.7K,True,"['michou', 'roue', 'tournes', 'souffres', 'vidéo', 'Tu']",1
5,5,9RhWXPcKBI8,1702947835.763489,2023-12-16T09:00:01-08:00,219M subscribers,3,1627,Now,Entertainment,FR,"62,941,741 views",3M,50K,True,,1
6,6,M9p7xS8nKFg,1702947835.763489,2023-12-17T14:05:56-08:00,985K subscribers,4,11341,Now,Sports,FR,"229,664 views",11K,167,True,"['foot', 'football', 'streaming', 'direct', 'match', 'sowdred', 'ligue 1', 'paris saint germain', 'paris sg', 'paris', 'psg', 'lille osc', 'lille', 'losc', 'psg lille', 'psg vs lille', 'lille psg', 'lille vs psg', 'lille paris', 'lille vs paris', 'lille paris sg', 'lille vs paris sg', 'losc psg', 'losc vs psg', 'losc paris', 'losc vs paris', 'match en direct', 'matche en direct', 'match en direct aujourd-hui', 'lille psg live', 'losc psg live', 'lille paris live', 'psg lille live', 'psg live', 'messi', 'amazon prime live', 'amazon prime', 'psg match', 'leo']",1
7,7,FuNLTys8xtQ,1702947835.763489,2023-12-17T07:41:08-08:00,2.51M subscribers,5,390,Now,Comedy,FR,"305,675 views",38K,618,True,"['kevin tran', 'kevin tran 陈科伟', 'rire jaune', 'le rire jaune', 'show jaune', 'le show jaune', 'kevin tran empereur', 'henry tran', 'cuisine', 'après mes toilettes', 'après mes toilettes ma cuisine', 'kevin tran cuisine', 'présentation de ma cuisine', 'cuisine tour', 'kitchen tour']",1
8,8,vvnlLGFv2mI,1702947835.763489,2023-12-17T03:00:45-08:00,1.54M subscribers,6,2208,Now,Autos & Vehicles,FR,"593,349 views",43K,1.2K,True,,1
9,9,4R7vRFGJr3k,1702947835.763489,2023-12-17T06:59:58-08:00,28.4M subscribers,7,191,Now,Music,FR,"4,046,212 views",458K,44K,True,"['JYP Entertainment', 'JYP', 'ITZY', '있지', 'イッチ', '예지', '리아', '류진', '채령', '유나', 'YEJI', 'LIA', 'RYUJIN', 'CHAERYEONG', 'YUNA', 'イェジ', 'リア', 'リュジン', 'チェリョン', 'ユナ', 'อิทจี', 'เยจี', 'ลีอา', 'รยูจิน', 'แชรยอง', 'ยูนา', 'ITZY VIDEOS', 'ITZY BEHIND', 'MV', 'ITZY MV', 'ITZY MUSIC VIDEOS', 'Teaser', 'ITZY Teaser', 'ITZY VLOG', 'VLOG', ""IT'z Different"", ""IT'z ICY"", ""IT'z ME"", 'Not Shy', 'GUESS WHO', 'CRAZY IN LOVE', 'DALLA DALLA', 'ICY', 'WANNABE', '마.피.아.IN THE MORNING', 'LOCO', 'ITZY?ITZY!', 'ITZY CHECKMATE', 'CHECKMATE', 'ITZY COMEBACK', 'SNEAKERS', 'Boys Like You', 'CHESHIRE', 'KILL MY DOUBT', 'CAKE', 'BORN TO BE']",1
10,10,Ap7qPHeZcgM,1702947835.763489,2023-12-16T23:18:06-08:00,1.38M subscribers,8,481,Now,Entertainment,FR,"327,182 views",4.9K,354,False,"['colby covington', 'donald trump', 'droitufc', 'leon edwards', 'mma', 'sports de combat', 'ufc']",1
11,11,6f1Bg-fqBRg,1702947835.763489,2023-12-17T02:00:12-08:00,367K subscribers,9,2566,Now,Entertainment,FR,"124,838 views",11K,434,True,"['one piece', 'one piece théorie', 'one piece theory', 'one', 'piece', 'theorie', 'one piece 1088', 'one piece chapitre', 'one piece spoil', 'Luffy', 'Nika', 'Gomu gomu no mi', 'hito hito no mi model nika', 'Joyboy', 'Haki', 'devil fruit', ""L'HISTOIRE DE LUFFY ET LA FIN DE ONE PIECE EXPLIQUÉE !"", 'Barbe Noire', 'Marshall D. teach', 'Teach vs Luffy', 'la disparition du gomu gomu no mi', 'Haki des rois', 'Luffy éveil', 'One Piece 1102', 'one piece review', 'Goji', 'anime', 'manga', 'Oda', 'iceberg one piece']",1
12,12,tfht2Piljo8,1702947835.763489,2023-12-17T04:07:22-08:00,492K subscribers,10,334,Now,Entertainment,FR,"373,036 views",2.8K,1.5K,True,,1
13,13,ziq9BzdRvwY,1702947835.763489,2023-12-17T10:00:28-08:00,146K subscribers,11,3163,Now,Entertainment,FR,"138,178 views",6.8K,172,True,,1
14,14,pIqARNahjJw,1702947835.763489,2023-12-17T10:00:30-08:00,564K subscribers,12,545,Now,Science & Technology,FR,"128,319 views",15K,486,True,"['iphone', 'apple', 'imessage', 'rcs', 'bulle bleue', 'bulle verte', 'léo duff', 'beeper', 'android', 'ios']",1
15,15,usTqmg0xNZY,1702947835.763489,2023-12-15T08:22:26-08:00,7.24M subscribers,13,2246,Now,Entertainment,FR,"1,850,346 views",169K,4.6K,True,"['mcfly', 'carlito', 'golden moustache', 'fatshow', 'badass', 'dab', ""j'effectue"", 'le', 'et', 'on', 'appelle', 'des', 'gens', 'au', 'hasard']",1
16,16,n4hyVsz7FMA,1702947835.763489,2023-12-17T01:00:27-08:00,2.43M subscribers,14,2988,Now,Entertainment,FR,"112,430 views",10K,328,True,"['horia', 'youtubeuse', 'true crime', 'thread horreur', 'Horia horreur', 'horroria', 'histoire horreur', 'la sombre histoire de', 'sombre histoire Horia', 'Lady Diana', 'la sombre histoire de lady diana', 'sombre histoire lady diana', 'lady diana reportage', 'lady diana documentaire', 'famille royale', 'prince charles', 'reine elisabeth', 'aromazone', 'skincare', 'mystère', 'étrange', 'lady diana mystère', 'histoire de lady diana', 'lady di', 'princesse diana', 'théories', 'lady diana théories', 'affaire', 'histoire lady di']",1
17,17,SwlRSu0jjyU,1702947835.763489,2023-12-17T08:25:00-08:00,8.33M subscribers,15,985,Now,Comedy,FR,"1,595,615 views",119K,1.2K,True,"['amixem', 'humour', 'delire']",1
18,18,FrTfxDY2eyI,1702947835.763489,2023-12-17T08:23:46-08:00,315K subscribers,16,621,Now,Comedy,FR,"94,371 views",13K,363,True,,1
19,19,W_l0npDNILY,1702947835.763489,2023-12-17T05:00:31-08:00,2.56M subscribers,17,966,Now,Gaming,FR,"548,554 views",42K,388,True,"['terracid', 'laink', 'wankil', 'lego', 'fortnite', 'minecraft', 'build', 'construction']",1
20,20,NGfpot1_2Is,1702947835.763489,2023-12-17T03:00:12-08:00,548K subscribers,18,2023,Now,Howto & Style,FR,"98,131 views",9K,376,True,"['honeyshay', 'honey shay', 'Chaiyna', 'comores', 'lifestyle', 'beauté', 'vlog', 'famille', 'family game', 'habitue toi', 'Family', 'Family Games', 'Océane', 'Yoan', 'Yo4real']",1
21,21,igsQae0v0HQ,1702947835.763489,2023-12-17T09:00:27-08:00,618K subscribers,19,1342,Now,Howto & Style,FR,"177,540 views",12K,103,True,['mayadorable'],1
22,22,TOIAdoDwYYs,1702947835.763489,2023-12-17T01:30:05-08:00,230K subscribers,20,1207,Now,Gaming,FR,"94,130 views",8.4K,245,True,"['pokemon random', 'choisi ton starter', 'choisi ton pokemon', 'challenge pokemon', 'randomizer pokemon violet', 'randomizer pokemon ecarlate']",1
